storm_time,forecast_horizon_h,predicted_flux,predicted_risk,actual_flux,actual_risk,correct_risk
2023-09-03 00:00:00+00:00,12,150.1114,Storm,550.0,Storm,True
2023-09-12 15:00:00+00:00,12,254.6027,Storm,737.0,Storm,True
2023-09-19 00:00:00+00:00,12,93.264,Elevated,515.0,Storm,False
2023-09-24 18:00:00+00:00,12,114.1416,Storm,79.0,Elevated,False
2023-11-05 09:00:00+00:00,12,189.3569,Storm,293.0,Storm,True
2023-11-25 18:00:00+00:00,12,104.9931,Storm,498.0,Storm,True
2023-12-01 09:00:00+00:00,12,608.8135,Storm,290.0,Storm,True
2023-12-18 06:00:00+00:00,12,108.825,Storm,233.0,Storm,True
2024-03-03 18:00:00+00:00,12,158.1266,Storm,,Unknown,False
2024-03-23 21:00:00+00:00,12,184.5511,Storm,,Unknown,False
2024-03-24 12:00:00+00:00,12,92.0889,Elevated,,Unknown,False
2024-04-19 18:00:00+00:00,12,49.3527,Elevated,,Unknown,False
2024-05-02 15:00:00+00:00,12,91.2895,Elevated,,Unknown,False
2024-05-10 15:00:00+00:00,12,7.8045,Nominal,,Unknown,False
2024-05-12 21:00:00+00:00,12,153.6045,Storm,,Unknown,False
2024-05-16 06:00:00+00:00,12,238.2578,Storm,,Unknown,False
2024-05-17 18:00:00+00:00,12,38.4627,Elevated,,Unknown,False
2024-06-07 12:00:00+00:00,12,79.3901,Elevated,,Unknown,False
2024-06-28 09:00:00+00:00,12,103.9724,Storm,,Unknown,False
2024-08-04 12:00:00+00:00,12,445.2349,Storm,,Unknown,False
2024-08-12 00:00:00+00:00,12,244.9704,Storm,,Unknown,False
2024-08-17 15:00:00+00:00,12,187.7262,Storm,,Unknown,False
2024-08-28 00:00:00+00:00,12,147.802,Storm,,Unknown,False
2024-09-12 09:00:00+00:00,12,154.6459,Storm,,Unknown,False
2024-09-13 21:00:00+00:00,12,161.2742,Storm,,Unknown,False
2024-09-17 00:00:00+00:00,12,143.0794,Storm,,Unknown,False
2024-10-07 12:00:00+00:00,12,152.0845,Storm,,Unknown,False
2024-10-10 15:00:00+00:00,12,110.2201,Storm,,Unknown,False
2021-03-01 03:00:00+00:00,24,122.4948,Storm,565.0,Storm,True
2021-03-20 06:00:00+00:00,24,174.5065,Storm,389.0,Storm,True
2021-05-12 12:00:00+00:00,24,164.3071,Storm,689.0,Storm,True
2021-10-12 03:00:00+00:00,24,59.1299,Elevated,1069.0,Severe,False
2021-11-03 21:00:00+00:00,24,156.5753,Storm,1399.0,Severe,False
2022-01-14 21:00:00+00:00,24,103.1836,Storm,937.0,Storm,True
2022-01-19 00:00:00+00:00,24,109.0291,Storm,607.0,Storm,True
2022-02-03 06:00:00+00:00,24,221.4002,Storm,967.0,Storm,True
2022-03-13 12:00:00+00:00,24,92.5881,Elevated,626.0,Storm,False
2022-04-10 03:00:00+00:00,24,117.6321,Storm,360.0,Storm,True
2022-04-14 15:00:00+00:00,24,87.7008,Elevated,1243.0,Severe,False
2022-08-07 21:00:00+00:00,24,73.6594,Elevated,603.0,Storm,False
2022-08-17 18:00:00+00:00,24,285.3341,Storm,784.0,Storm,True
2022-09-04 03:00:00+00:00,24,74.4873,Elevated,526.0,Storm,False
2022-09-27 00:00:00+00:00,24,50.4766,Elevated,355.0,Storm,False
2023-02-27 03:00:00+00:00,24,154.7732,Storm,487.0,Storm,True
2023-03-23 12:00:00+00:00,24,167.4442,Storm,870.0,Storm,True
2023-04-23 18:00:00+00:00,24,114.622,Storm,1287.0,Severe,False
2023-05-06 03:00:00+00:00,24,104.3693,Storm,1214.0,Severe,False
2023-05-20 00:00:00+00:00,24,89.0587,Elevated,729.0,Storm,False
2023-05-21 18:00:00+00:00,24,125.2379,Storm,209.0,Storm,True
2023-06-15 21:00:00+00:00,24,76.4385,Elevated,691.0,Storm,False
2023-08-05 03:00:00+00:00,24,31.7896,Elevated,1148.0,Severe,False
2023-09-03 00:00:00+00:00,24,82.9831,Elevated,550.0,Storm,False
2023-09-12 15:00:00+00:00,24,121.6592,Storm,737.0,Storm,True
